Building,Complete Target,Completion Status,Country,County,Description,Months,Operational Unit,Post,Raised Date,Region,Short Description,WO Complete,WO Number,WO Status,Work Type,2022,2023,Amount or Number,p.Choose Year
New Lane,5/1/2022 23:59,Closed,United Kingdom,Greater London,Work order completed with documents/costs,22-Jan,MoJ,BR1,1/1/2022 21:55,Central,Confidential Waste,3/1/2022 22:02,GEM:1578,WRKCOM,COMPLAINT,312,332.28,312,312
Merthyr Tydfil Oldway House,18/01/2022 10:19:00,Closed,United Kingdom,Shropshire,Work order completed with documents/costs,22-Jan,MoJ,CW3,13/01/2022 10:19:00,West,Confidential Waste,18/01/2022 09:30:00,GEM:1580,WRKCOM,COMPLAINT,312,332.28,312,312
Bent Pyramid,18/01/2022 15:35:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Jan,MoJ,BD23,13/01/2022 15:35:00,West,Confidential Waste,17/01/2022 11:43:00,GEM:1581,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,19/01/2022 23:59:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Jan,MoJ,CR3,16/01/2022 09:59:00,South,Confidential Waste,16/01/2022 11:40:00,GEM:1582,WRKCOM,COMPLAINT,312,332.28,312,312
Labbacallee,20/01/2022 11:54:00,Closed,United Kingdom,Hertfordshire,Compliment/Complaint Closed,22-Jan,MoJ,AL1,17/01/2022 11:54:00,East,Confidential Waste,19/01/2022 16:09:50,GEM:1583,CCLOSED,COMPLAINT,312,332.28,312,312
Shimao,21/01/2022 12:39:00,Closed,United Kingdom,Somerset,Work order reassigned to supplier,22-Jan,MoJ,BA3,18/01/2022 12:39:00,West,Confidential Waste,20/01/2022 10:08:00,GEM:1584,REASSIGNED,COMPLAINT,312,332.28,312,312
Yeha Temple,21/01/2022 18:00:00,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Jan,MoJ,CR3,18/01/2022 18:00:00,South,Confidential Waste,19/01/2022 10:54:00,GEM:1585,WRKCOM,COMPLAINT,312,332.28,312,312
Loughcrew,26/01/2022 23:59:00,Closed,United Kingdom,Isle of Wight,Work order completed with documents/costs,22-Jan,Home Office,PO30,22/01/2022 19:24:00,South,Confidential Waste,23/01/2022 10:00:00,GEMH:285,WRKCOM,COMPLAINT,312,332.28,312,312
Famouse House,27/01/2022 15:04:00,Closed,United Kingdom,North Yorkshire,Work order completed with documents/costs,22-Jan,Home Office,BD23,24/01/2022 15:04:00,West,Confidential Waste,27/01/2022 11:10:00,GEM:1587,WRKCOM,COMPLAINT,312,332.28,312,312
Listoghil,2/2/2022 16:02,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Jan,Home Office,BB1,24/01/2022 16:02:00,West,Confidential Waste,1/2/2022 15:29,GEM:1588,WRKCOM,COMPLAINT,312,332.28,312,312
Temple of Cyrene,2/2/2022 23:59,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Jan,Home Office,BN1,30/01/2022 13:52:00,South,Confidential Waste,2/2/2022 9:34,GEM:1592,WRKCOM,COMPLAINT,312,332.28,312,312
Newton Place,7/2/2022 10:05,Closed,United Kingdom,East Sussex,Work order completed with documents/costs,22-Feb,Home Office,BN1,2/2/2022 10:05,South,Confidential Waste,3/2/2022 14:15,GEM:1595,WRKCOM,COMPLAINT,312,332.28,312,312
Holiday Inn,8/2/2022 9:56,Closed,United Kingdom,Kent,Compliment/Complaint Closed,22-Feb,Home Office,BR6,3/2/2022 9:56,East,Confidential Waste,3/2/2022 13:15,GEM:1596,CCLOSED,COMPLAINT,312,332.28,312,312
Holiday Inn,9/2/2022 10:16,Closed,United Kingdom,Kent,Work order completed with documents/costs,22-Feb,Home Office,BR6,4/2/2022 10:16,East,Confidential Waste,4/2/2022 11:07,GEM:1600,WRKCOM,COMPLAINT,312,332.28,312,312
New Cut House,9/2/2022 23:59,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Home Office,CR3,5/2/2022 17:28,South,Confidential Waste,8/2/2022 11:12,GEM:1601,WRKCOM,COMPLAINT,312,332.28,312,312
Scotland House,11/2/2022 10:15,Closed,United Kingdom,Lancashire,Work order completed with documents/costs,22-Feb,Home Office,BB1,8/2/2022 10:15,West,Confidential Waste,9/2/2022 9:00,GEM:1602,WRKCOM,COMPLAINT,312,332.28,312,312
Labbacallee,16/02/2022 11:03:00,Closed,United Kingdom,Hertfordshire,Work order completed with documents/costs,22-Feb,Home Office,AL1,11/2/2022 11:03,East,Confidential Waste,11/2/2022 12:00,GEM:1606,WRKCOM,COMPLAINT,312,332.28,312,312
Fresh World House,16/02/2022 14:18:00,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Feb,Home Office,BH23,11/2/2022 14:18,South,Confidential Waste,14/02/2022 14:18:00,GEM:1607,WRKCOM,COMPLAINT,312,332.28,312,312
The Shard,18/02/2022 11:44:00,Closed,United Kingdom,Cornwall,Compliment/Complaint Closed,22-Feb,DoE,EX22,15/02/2022 11:44:00,West,Confidential Waste,16/02/2022 10:40:16,GEM:1608,CCLOSED,COMPLAINT,312,332.28,312,312
New Cut House,18/02/2022 12:55:00,Closed,United Kingdom,Surrey,Compliment/Complaint Closed,22-Feb,Home Office,CR3,15/02/2022 12:55:00,South,Confidential Waste,16/02/2022 10:55:41,GEM:1609,CCLOSED,COMPLAINT,312,332.28,312,312
Fresh World House,21/02/2022 18:06:00,Closed,United Kingdom,Hampshire,Work order completed with documents/costs,22-Feb,Home Office,BH23,16/02/2022 18:06:00,South,Confidential Waste,17/02/2022 13:00:00,GEM:1610,WRKCOM,COMPLAINT,312,332.28,312,312
Tarxien Temples,2/3/2022 23:59,Closed,United Kingdom,Merseyside,Work order completed with documents/costs,22-Feb,Home Office,CH25,27/02/2022 21:51:00,West,Confidential Waste,1/3/2022 7:32,GEM:1611,WRKCOM,COMPLAINT,312,332.28,312,312
Terminator House,3/3/2022 13:42,Closed,United Kingdom,Surrey,Work order completed with documents/costs,22-Feb,Home Office,CR3,28/02/2022 13:42:00,South,Confidential Waste,28/02/2022 23:31:00,GEM:1612,WRKCOM,COMPLAINT,312,332.28,312,312
